country,Country Code,Region,Income Group,Lending category,Electric power consumption (kWh per capita),Forest area (sq. km),Rail lines (total route-km),Time required to start a business (days),"Patent applications, residents",Scientific and technical journal articles,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Population density (people per sq. km of land area),Urban population
Northern Mariana Islands,MNP,East Asia & Pacific,High income,,,296.5999985,,,,,10.3134722,120.2282609,50479
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA,478.9211723,381463.9844,,21,14,85.3,22.61416414,33.42679493,8905226
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA,,2280,,8,,12.8,43.11078408,3.813811972,1973428
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD,2182.509156,385.6000137,,6.5,3,122.6,15.29264823,621.1497537,518383
Malawi,MWI,Sub-Saharan Africa,Low income,IDA,,31650,,38,,186.9,25.19822884,172.7783199,2627829
Malaysia,MYS,East Asia & Pacific,Upper middle income,IBRD,4651.958734,221808.0078,,7.5,1353,17348.9,16.92315529,90.90415158,21974918
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD,1652.569026,69932.00195,,66,,94.8,26.01812153,2.761396349,1041822
New Caledonia,NCL,East Asia & Pacific,High income,,,8390,,,,,,14.66356674,184770
Niger,NER,Sub-Saharan Africa,Low income,IDA,51.19500844,11544.00024,,15,,49.6,60.54135722,15.18919792,3120561
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend,144.5254622,74026.00098,,30.3,,3994.7,48.63337361,193.6876511,82878551
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,IDA,568.3138108,31140,,14,1,37,19.38772134,51.04481469,3544357
Netherlands,NLD,Europe & Central Asia,High income,,6712.774758,3753.999939,,3.5,2294,32354.9,12.82879707,500.5938854,15126226
Norway,NOR,Europe & Central Asia,High income,,22999.9346,121100,4219,5,1106,10703.8,7.670895927,14.06986657,4145335
Nepal,NPL,South Asia,Low income,IDA,146.4678648,36360,,17,10,526.9,98.11601657,187.7009138,4892217
Nauru,NRU,East Asia & Pacific,Upper middle income,,,0,,,,0.4,,592.65,11853
New Zealand,NZL,East Asia & Pacific,High income,,9026.321041,101517.998,,0.5,1636,7834.7,6.357903512,17.12696062,3891014
Oman,OMN,Middle East & North Africa,High income,,6445.573417,20,,8.3,,705.8,37.71088051,13.01214863,3227648
Pakistan,PAK,South Asia,Lower middle income,Blend,447.5010026,15150,7791,20,146,8065.2,59.51836271,253.3556779,69956952
